number,value,datetime_start,datetime_complete,duration,params_mu,params_sigma,state
453,1.556025101499655,2023-07-11 23:08:57.136811,2023-07-11 23:08:57.792064,0 days 00:00:00.655253,52.646964084438274,13.44105125265231,COMPLETE
240,1.5710033851166603,2023-07-11 23:08:47.632984,2023-07-11 23:08:48.294978,0 days 00:00:00.661994,52.65675434527541,13.481132069187526,COMPLETE
247,1.5851271686444794,2023-07-11 23:08:47.825204,2023-07-11 23:08:48.466558,0 days 00:00:00.641354,52.65436245277578,13.531332642337954,COMPLETE
232,1.6380964573255463,2023-07-11 23:08:47.186824,2023-07-11 23:08:47.835624,0 days 00:00:00.648800,52.6381292221839,13.585185551905369,COMPLETE
136,1.7013269965761573,2023-07-11 23:08:43.620589,2023-07-11 23:08:44.134964,0 days 00:00:00.514375,52.53031687141766,13.326443522030221,COMPLETE
242,1.7767814843146112,2023-07-11 23:08:47.714052,2023-07-11 23:08:48.335175,0 days 00:00:00.621123,52.67460395795367,13.527499711506541,COMPLETE
243,1.807729646420983,2023-07-11 23:08:47.718163,2023-07-11 23:08:48.329081,0 days 00:00:00.610918,52.679928960007466,13.512068226418954,COMPLETE
131,1.8936611358076625,2023-07-11 23:08:43.477687,2023-07-11 23:08:44.037677,0 days 00:00:00.559990,52.67915666855997,13.429145414102159,COMPLETE
234,1.9053271425769012,2023-07-11 23:08:47.271723,2023-07-11 23:08:47.987664,0 days 00:00:00.715941,52.6906266282568,13.49696433196175,COMPLETE
250,1.9848336140620433,2023-07-11 23:08:47.955448,2023-07-11 23:08:48.596972,0 days 00:00:00.641524,52.69801503872296,13.508114095683895,COMPLETE
236,2.0751264287556226,2023-07-11 23:08:47.326552,2023-07-11 23:08:47.960545,0 days 00:00:00.633993,52.70757422321723,13.484880949846437,COMPLETE
292,2.0778031858307604,2023-07-11 23:08:49.862683,2023-07-11 23:08:50.502343,0 days 00:00:00.639660,52.45791868894526,13.711160076025148,COMPLETE
133,2.0805507374917056,2023-07-11 23:08:43.542143,2023-07-11 23:08:44.085288,0 days 00:00:00.543145,52.456969091451086,13.292221960231938,COMPLETE
