mu,sigma,discrepency
50.72016525268555,17.690673828125,43.78356518077682
51.58442687988281,13.726144790649414,9.330719996876294
47.77912902832031,9.985133171081543,59.3491038037909
57.932952880859375,10.607088088989258,60.172668305858885
48.495094299316406,12.448625564575195,41.720933958931965
59.15785217285156,12.982319831848145,66.56945224009043
54.918094635009766,15.062328338623047,29.054251489438315
49.53935241699219,10.171892166137695,44.69618748753142
49.192413330078125,10.393599510192871,45.64877274873105
52.15467071533203,16.59982681274414,30.176745271764798
49.16294860839844,6.462264537811279,77.25966497498803
46.841217041015625,11.727170944213867,59.79939479206105
54.43540954589844,13.063366889953613,19.64885486531424
51.54131317138672,17.555652618408203,40.18073520471355
50.6029052734375,11.715108871459961,26.20362247967276
48.64741516113281,11.661397933959961,43.101887168114246
51.92162322998047,15.471290588378906,19.78548001549677
52.38489532470703,12.27518081665039,12.000173106959746
53.291439056396484,12.720808982849121,10.733159890765853
48.293819427490234,15.749011993408203,46.62470417287039
47.3434944152832,19.79167366027832,78.39483274565977
54.165462493896484,18.690027236938477,53.723745701543784
59.32160568237305,17.167633056640625,78.2012610248435
49.17295837402344,12.944424629211426,33.91558630568921
52.37389373779297,13.50568962097168,1.2600861808573864
53.15474319458008,14.819315910339355,14.621818567342906
48.669776916503906,16.456558227539062,46.95774596824537
54.97465515136719,13.57210922241211,24.784162523334757
48.8916130065918,11.090078353881836,43.78441500802494
56.07406234741211,16.67160415649414,48.10387909578129
52.867401123046875,16.667076110839844,31.131423500312543
52.903541564941406,14.397546768188477,9.752206298863811
49.022727966308594,15.024334907531738,37.25182290357548
55.832603454589844,8.425105094909668,58.40746095831954
52.659366607666016,15.351375579833984,18.119682121459913
50.335933685302734,7.76992130279541,60.520220765480744
48.746803283691406,14.585787773132324,38.58221831111691
54.33060073852539,12.629609107971191,19.85856875858723
49.72597122192383,17.95928955078125,50.510226633509774
52.07358169555664,13.470969200134277,4.284622611246483
56.32471466064453,10.329771041870117,48.14785387837515
50.725006103515625,16.493425369262695,33.465708461659176
46.8205451965332,12.405263900756836,58.1940261194699
49.276878356933594,15.91295051574707,39.097219701500975
51.2878303527832,19.69449806213379,60.917439592115436
53.83401107788086,17.83880615234375,44.713430582708085
52.73954772949219,10.949642181396484,24.798258330415674
55.2640495300293,11.619169235229492,32.5255757072573
53.279911041259766,19.355623245239258,57.72570678429119
50.59163284301758,9.297849655151367,45.743977939142916
54.11178207397461,9.741889953613281,39.322376541890804
51.092838287353516,13.695945739746094,14.124948191868892
52.69890213012695,11.5518217086792,18.952747309841406
49.99148941040039,15.264477729797363,29.817540778764165
53.282257080078125,14.3200101852417,11.383815535450152
57.00761795043945,13.067666053771973,45.105641873124576
53.71686935424805,9.371267318725586,41.453330554806584
54.69779968261719,7.212302207946777,64.09611069643485
52.508628845214844,14.890029907226562,13.508125115786985
55.819305419921875,14.090657234191895,33.90845061650036
52.42341995239258,11.170068740844727,22.67899395652152
51.050209045410156,15.867311477661133,26.697375224148967
56.088157653808594,12.295182228088379,37.299525534723415
55.0306510925293,12.530853271484375,26.64980241174941
53.40738296508789,15.263442993164062,19.7015531211319
52.121437072753906,14.805608749389648,13.09278882319329
53.805931091308594,17.115156173706055,37.952645523672565
51.59669876098633,12.682376861572266,12.26261090077127
53.03841018676758,10.298219680786133,31.357851462688377
56.92218780517578,18.54426383972168,67.2955718813423
51.540653228759766,10.592514038085938,30.188844536852493
49.78784942626953,16.141054153442383,36.59032319383452
52.362571716308594,13.033775329589844,4.785126467498759
54.09757995605469,13.262051582336426,16.051392531867005
56.31734085083008,13.996705055236816,38.66620077565061
50.6945915222168,12.330350875854492,21.709767454646077
51.29787826538086,16.796871185302734,33.763048124925206
50.687538146972656,15.141794204711914,23.66506824335692
54.26592254638672,12.39818286895752,20.284746008032453
53.39326858520508,17.295740127563477,38.284913734850264
