like1,parmu,parsigma,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95,simulation_96,simulation_97,simulation_98,simulation_99,chain
7.687859,59.607883,10.181374,47.82244,62.558,67.55805,65.146286,49.81969,70.51222,66.749664,66.785484,67.19365,70.851654,82.44443,53.382046,60.08856,77.46841,45.985413,62.92268,52.59172,59.40607,64.44153,39.94662,49.503094,45.29826,57.255016,52.594475,75.033745,53.46677,77.05555,55.47171,62.37121,60.01351,59.72516,48.131664,63.015724,63.51643,62.029377,65.93471,51.26684,56.57812,52.87227,42.25709,63.34991,53.137737,58.816586,82.51361,61.952763,60.701527,70.54213,72.29748,78.06562,54.298462,77.89297,58.27048,47.815544,50.150494,70.88729,67.371605,72.66574,50.222446,56.148357,47.41348,39.49371,59.423973,75.72189,70.93046,51.695072,71.49433,53.73549,62.785614,68.02777,55.458103,50.60106,66.22183,57.803715,53.989437,66.06589,57.41919,63.505985,49.77666,66.97948,49.969532,55.68142,40.55203,71.40789,60.561188,64.31952,42.27367,61.17116,55.59256,71.795296,43.618004,63.20048,70.35511,47.46843,60.718914,48.567772,60.047573,62.99976,73.01624,61.320004,52.586475,0.0
6.323585,55.143734,19.306105,32.79596,60.73779,70.21899,65.645744,36.583183,75.82074,68.68611,68.75403,69.52799,76.46438,98.44679,43.338184,56.0552,89.01117,29.312555,61.42931,41.839558,54.761055,64.30937,17.86169,35.982845,28.009563,50.682182,41.84478,84.39452,43.498844,88.22831,47.300648,60.383595,55.912895,55.366108,33.38232,61.60574,62.555187,59.735413,67.14078,39.327293,49.39864,42.371536,22.242846,62.23943,42.874924,53.643253,98.57799,59.590134,57.217518,75.87744,79.20597,90.14363,45.075912,89.816246,52.607727,32.782887,37.21046,76.531944,69.86544,79.904274,37.346897,48.583714,32.020485,17.00287,54.795,85.6994,76.61381,40.139317,77.68303,44.008396,61.1694,71.10967,47.274845,38.06483,67.68523,51.722633,44.489933,67.38952,50.99349,62.53538,36.50159,69.12188,36.867313,47.698296,19.009678,77.51911,56.9514,64.078026,22.274286,58.10805,47.529804,78.25373,24.823437,61.956078,75.52282,32.12468,57.250492,34.209274,55.97748,61.57547,80.56891,58.39028,41.829613,0.0
1.5770965,53.67229,12.3653,39.35884,57.255207,63.327785,60.39869,41.784504,66.915634,62.346,62.3895,62.885212,67.32787,81.40732,46.110992,54.25607,75.36393,37.127766,57.698116,45.151142,53.42719,59.542755,29.79364,41.399998,36.293217,50.814724,45.154488,72.40703,46.213894,74.86251,48.648895,57.02835,54.164925,53.814716,39.734394,57.811115,58.419224,56.613197,61.35623,43.542072,49.992634,45.491867,32.599712,58.216988,45.81428,52.711254,81.49135,56.52015,55.00052,66.95195,69.08383,76.08926,47.223984,75.87956,52.04801,39.350468,42.18627,67.37115,63.101345,69.53108,42.273655,49.470684,38.86216,29.243578,53.44893,73.24278,67.423584,44.06216,68.108406,46.540253,57.531647,63.89826,48.63237,42.733482,61.704945,51.48112,46.848675,61.515553,51.014114,58.40654,41.732246,62.625103,41.966488,48.903587,30.528912,68.00342,54.83008,59.39458,32.61985,55.570896,48.79567,68.47393,34.252544,58.035503,66.72482,38.928894,55.02164,40.26405,54.20629,57.79173,69.95677,55.75166,45.14477,0.0
7.5034595,59.58375,10.64829,47.257828,62.669155,67.89851,65.376144,49.346672,70.98816,67.053055,67.090515,67.517395,71.34316,83.467575,53.072395,60.08647,78.26335,45.336555,63.050564,52.245827,59.372684,64.63906,39.020824,49.015556,44.61789,57.122982,52.24871,75.71704,53.161007,77.83156,55.257893,62.4738,60.007984,59.7064,47.581234,63.147873,63.67154,62.116295,66.20072,50.860188,56.415043,52.53924,41.437252,63.497387,52.816883,58.75616,83.53993,62.036167,60.727547,71.01944,72.85529,78.88796,54.03084,78.70739,58.185017,47.250618,49.69265,71.380424,67.703514,73.24044,49.7679,55.965572,46.830112,38.547142,59.391407,76.436745,71.425575,51.30806,72.01531,53.44205,62.90721,68.38977,55.243664,50.163876,66.501015,57.696842,53.707645,66.33792,57.29468,63.660618,49.30167,67.2934,49.503384,55.47722,39.654,71.924904,60.580772,64.51147,41.454594,61.218723,55.384285,72.33008,42.86058,63.341103,70.823845,46.887585,60.745735,48.037342,60.043606,63.13118,73.60702,61.374386,52.24034,0.0
8.509003,58.537178,7.077115,50.345066,60.587814,64.06337,62.386944,51.733364,66.11683,63.50146,63.526356,63.810074,66.35277,74.41095,54.20957,58.871296,70.9521,49.068142,60.841305,53.660213,58.396896,61.89706,44.870552,51.513294,48.5905,56.901688,53.66213,69.25976,54.268463,70.66512,55.662106,60.457973,58.819134,58.618694,50.56001,60.90598,61.254025,60.220367,62.934982,52.739285,56.431175,53.855225,46.47657,61.138275,54.039753,57.98714,74.459045,60.167114,59.297375,66.13762,67.357765,71.367226,54.846577,71.247215,57.607544,50.340275,51.963306,66.37754,63.933773,67.61375,52.01332,56.132446,50.0608,44.555733,58.40934,69.73809,66.40755,53.03695,66.7995,54.455254,60.74603,64.38988,55.65265,52.276497,63.134563,57.283092,54.63177,63.026165,57.01581,61.246765,51.703453,63.6612,51.83752,55.807877,45.291374,66.73941,59.19982,61.812256,46.488094,59.62382,55.74611,67.0087,47.422546,61.034405,66.00762,50.09899,59.30946,50.86315,58.842808,60.894886,67.85738,59.72728,53.656567,0.0
4.5022497,51.459816,18.051418,30.564405,56.69032,65.55534,61.279312,34.1055,70.793045,64.122086,64.185585,64.909256,71.39485,91.94865,40.4215,52.312046,83.12624,27.307384,57.3369,39.020264,51.102005,60.029785,16.600698,33.544178,26.089071,47.288216,39.02515,78.80962,40.571716,82.39425,44.126442,56.359142,52.17899,51.66774,31.112656,57.50186,58.389603,55.753086,62.677177,36.671272,46.08809,39.517673,20.697126,58.094368,39.988342,50.05685,92.07132,55.61725,53.398827,70.84606,73.958275,84.185104,42.04629,83.87899,49.088623,30.552181,34.692013,71.45802,65.22478,74.61119,34.81958,45.326126,29.839325,15.797693,51.133747,80.0297,71.53457,37.430523,72.5343,41.048153,57.09388,66.388145,44.102318,35.490856,63.186245,48.26105,41.498398,62.90976,47.579292,58.37109,34.02921,64.52953,34.371166,44.498253,17.67408,72.38104,53.150005,59.813477,20.726524,54.231487,44.34071,73.06792,23.110008,57.829433,70.51448,29.93675,53.429657,31.88587,52.23938,57.47356,75.23263,54.495373,39.010967,0.0
2.5425355,54.6576,14.799414,37.526543,58.945816,66.21378,62.70809,40.4297,70.5079,65.038734,65.09079,65.68409,71.00129,87.85227,45.60786,55.356297,80.61925,34.85628,59.47591,44.45906,54.36425,61.68367,26.078432,39.9695,33.857452,51.237522,44.463066,77.08028,45.731014,80.01913,48.64535,58.6743,55.24721,54.828064,37.976025,59.611156,60.33897,58.177425,63.854126,42.533245,50.2536,44.86686,29.436878,60.09692,45.25274,53.50738,87.95284,58.06606,56.24729,70.55137,73.102905,81.48735,46.93994,81.23638,52.71358,37.51652,40.910553,71.053085,65.942764,73.6382,41.015137,49.628906,36.932087,25.42009,54.39027,78.08055,71.11584,43.155712,71.93547,46.12162,59.276672,66.89655,48.625572,41.565483,64.271484,52.0351,46.490753,64.04481,51.47616,60.323788,40.367153,65.37278,40.647507,48.950176,26.95844,71.809814,56.043297,61.506325,29.460981,56.929947,48.821014,72.37295,31.415073,59.879715,70.279526,37.011963,56.272568,38.609943,55.296722,59.58795,74.14768,57.146294,44.45144,0.0
4.2868943,56.529484,11.820933,42.846165,59.954666,65.7599,62.95976,45.165043,69.189804,64.82134,64.86293,65.336815,69.5839,83.04351,49.301064,57.087563,77.266174,40.71331,60.37808,48.38347,56.29517,62.14151,33.70206,44.797462,39.915504,53.797718,48.38667,74.439445,49.399433,76.786835,51.727238,59.737797,57.00043,56.66564,43.205185,60.486103,61.06744,59.34092,63.87515,46.845234,53.011818,48.709194,36.384598,60.874104,49.01741,55.610752,83.12384,59.25197,57.79924,69.224525,71.26255,77.959564,50.365055,77.75911,54.97671,42.83816,45.54912,69.62527,65.543434,71.69011,45.632656,52.512848,42.37135,33.176216,56.315956,75.23841,69.67539,47.342426,70.33006,49.711426,60.218937,66.30527,51.71144,46.072243,64.20851,54.434776,50.006268,64.02745,53.988327,61.055313,45.115086,65.08816,45.339016,51.970715,34.404964,70.229706,57.6363,61.99986,36.40385,58.344505,51.86755,70.6795,37.96467,60.70061,69.00739,42.435146,57.819427,43.711525,57.039978,60.467567,72.09706,58.51731,48.37738,0.0
5.7397137,54.48966,18.961191,32.54114,59.983776,69.295586,64.80405,36.2607,74.79726,67.79009,67.8568,68.616936,75.4294,97.01909,42.895023,55.384842,87.75204,29.119968,60.66294,41.42317,54.113815,63.491547,17.873678,35.67109,27.840254,50.107815,41.4283,83.21787,43.05281,86.98316,46.78669,59.635906,55.24508,54.70806,33.117023,60.836216,61.7687,58.999306,66.27236,38.955788,48.847202,41.945644,22.176561,61.458588,42.440037,53.015987,97.147934,58.85662,56.526394,74.85295,78.12202,88.864265,44.601704,88.542725,51.99896,32.5283,36.876774,75.49576,68.94836,78.80784,37.01077,48.046837,31.779518,17.030201,54.147156,84.499435,75.57616,39.753304,76.626274,43.553257,60.407673,70.17036,46.761353,37.71588,66.80709,51.129677,44.026196,66.51667,50.41356,61.749252,36.180565,68.21808,36.539757,47.17724,19.001156,76.465294,56.265034,63.26433,22.207441,57.401016,47.011757,77.18678,24.71105,61.180298,74.50466,31.881853,56.558777,33.929207,55.30851,60.806488,79.460594,57.678207,41.4134,0.0
6.6320114,57.599133,17.662106,37.15437,62.71683,71.39066,67.206856,40.61909,76.5154,69.98832,70.05045,70.75851,77.10423,97.21475,46.798878,58.432983,88.58261,33.96759,63.349464,45.427864,57.24904,65.984276,23.491816,40.069878,32.775555,53.5175,45.432644,84.35909,46.945854,87.86641,50.42392,62.3928,58.302795,57.80257,37.690796,63.51087,64.37947,61.799812,68.57457,43.12953,52.343258,45.914543,27.499897,64.0906,46.375065,56.226425,97.33477,61.666904,59.496326,76.567276,79.61237,89.61864,48.38863,89.31913,55.27908,37.14241,41.19296,77.166046,71.06722,80.251205,41.317772,51.59773,36.444927,22.70613,57.280094,85.55286,77.24094,43.872406,78.21911,47.412014,63.111687,72.205505,50.400314,41.974575,69.07266,54.469357,47.85255,68.80214,53.8023,64.36135,40.54445,70.38698,40.87903,50.78771,24.542048,78.06915,59.25287,65.77263,27.528662,60.311028,50.63356,78.74121,29.86074,63.831375,76.24285,36.540253,59.52649,38.447334,58.36188,63.48318,80.859245,60.569225,45.418766,0.0
