arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull
18_7,euclidean_distance,33.58822234583689,,18,1250,33.58822234583689
15_1,euclidean_distance,33.90828280423699,,15,1250,33.90828280423699
15_3,euclidean_distance,38.234401859586264,,15,1250,38.234401859586264
0_0,euclidean_distance,38.981898831781585,,0,10000,38.981898831781585
5_0,euclidean_distance,40.525524340984724,,5,10000,40.525524340984724
15_2,euclidean_distance,41.296672587114344,,15,1250,41.296672587114344
17_6,euclidean_distance,41.85834975005495,,17,1250,41.85834975005495
15_7,euclidean_distance,42.07099809832317,,15,1250,42.07099809832317
9_0,euclidean_distance,44.09692421192383,,9,10000,44.09692421192383
3_0,euclidean_distance,47.7126138785884,,3,10000,47.7126138785884
2_0,euclidean_distance,50.66080031753801,,2,10000,50.66080031753801
15_5,euclidean_distance,51.006574152334494,,15,1250,51.006574152334494
17_4,euclidean_distance,51.7019524900166,,17,1250,51.7019524900166
6_0,euclidean_distance,52.973948541260995,,6,10000,52.973948541260995
13_5,euclidean_distance,53.185472165029914,,13,1428,53.185472165029914
8_0,euclidean_distance,57.880450548930185,,8,10000,57.880450548930185
18_2,euclidean_distance,60.34973651723517,,18,1250,60.34973651723517
18_6,euclidean_distance,60.902647466376386,,18,1250,60.902647466376386
7_0,euclidean_distance,64.92797020400708,,7,10000,64.92797020400708
4_0,euclidean_distance,72.08419083053572,,4,10000,72.08419083053572
13_0,euclidean_distance,75.01719676162385,,13,1428,75.01719676162385
13_6,euclidean_distance,75.06159315820993,,13,1428,75.06159315820993
17_3,euclidean_distance,75.11708515870134,,17,1250,75.11708515870134
17_1,euclidean_distance,77.02049436401782,,17,1250,77.02049436401782
10_7,euclidean_distance,78.44985297727331,,10,1250,78.44985297727331
1_0,euclidean_distance,88.31835904644875,,1,10000,88.31835904644875
13_1,euclidean_distance,89.70484677386193,,13,1428,89.70484677386193
10_1,euclidean_distance,96.1141411178986,,10,1250,96.1141411178986
13_4,euclidean_distance,96.31434983559478,,13,1428,96.31434983559478
13_3,euclidean_distance,97.73450774346212,,13,1428,97.73450774346212
10_2,euclidean_distance,109.33503153836529,,10,1250,109.33503153836529
13_2,euclidean_distance,113.73008759719315,,13,1428,113.73008759719315
